"1","meet","встречаться","|ми:т|"
"2","meeting","встреча","/ми:тин/"
"3","too","также","|ту/"
"4","as well","также",
"5","likewise","также/ подобно/ взаимно",
"6","occupation","профессия","/окюпейшен/"
"7","so - so","так себе",
"8","seldom","редко",
"9","bad","плохой",
"10","day - off","выходной","(рабочий)"
"11","cheap","дешевый",
"12","near here","поблизости",
"13","underground | subway","метро/подземка",
"14","why","почему",
"15","where","куда/где",
"16","when","когда",
"17","who","кто",
"18","what","что/какая/какой/какие/какое",
"19","how","как",
"20","how many/much","сколько",
"21","salary/wage","зарплата",
"22","fee","гонорар",
"23","payment","оплата",
"24","responsibility / duty","обязанность",
"25","a lot of","много",
"26","the most","большинство",
"27","surname","фамилия",
"28","often","часто",
"29","typical","типичный",
"30","usually","обычно",
"31","come back / return","возвращаться",
"32","properly","соответственно / как положено",
"33","area","территория / площадь","/ериа/"
"34","co-workers","сотрудники",
"35","create","создавать",
"36","project development","развитие проекта",
"37","briefing","планерка",
"38","useless","бесполезный",
"39","over","над (чем-то)",
"40","perform","выполнять",
"41","performance","выполнение/исполнение",
"42","expensive","дорогой",
"43","solve","решать/развязывать","(проблему)"
"44","solution","решение","(проблемы)"
"45","analyze / analyze","анализировать",
"46","present","представлять",
"47","manage","руководить",
"48","run","управлять",
"49","be self / employed","работать на себя",
"50","to have own business","иметь собственный бизнес",
"51","I would like ","Я бы хотел",
"52","go out","выходить","(гулять)"
"53","rest","отдых/остаток",
"54","I am keen on","Мне очень нравится",
"55","That is why","вот почему",
"56","hire","нанимать/арендовать",
"57","important","важно",
"58","invest","инвестировать",
"59","in fact","на самом деле",
"60","sometimes","иногда",
"61","famous","известный",
"62","always","всегда",
"63","rarely","редко",
"64","never","никогда",
"65","every","каждый",
"66","same","тот же / одинаковый",
"67","commercial","реклама(телереклама)",
"68","advertisement","реклама",
"69","ads","реклама/объявления",
"70","choose","выбирать",
"71","enough","достаточно","/енаф/"
"72","comfortable","удобный","comfortable = comfy = convenient"
"73","comfy","удобный","comfortable = comfy = convenient"
"74","convenient","удобный","comfortable = comfy = convenient"
"75","schedule","график","/шедьюл\скедьюл/"
"76","during","на протяжении",
"77","abroad","заграницу",
"78","cross","пересекать",
"79","vacation","отпуск",
"80","go sightseeing","осматривать достопримечательности",
"81","mountain","гора",
"82","castle","замок",
"83","depend on","зависеть от (чего - либо)",
"84","influence","влиять/влияние",
"85","go to the seaside","поехать на море",
"86","go to the countryside","поехать за город","поехать в село/поехать за город"
"87","keep in touch","будем на связи",
"88","get","добираться/ставать/получать",
"89","point of view","точка зрения",
"90","convenience","удобство",
"91","describe","описывать",
"92","sunbathe","загорать",
"93","verb","глагол",
"94","spend","тратить/проводить","spend time|money"
"95","take photos","фотографировать",
"96","stay","останавливаться/ пребывать",
"97","unknown","неизвестный",
"98","purpose","цель",
"99","traffic jams","пробки",
"100","facility","условие",
"101","comfy","удобный",
"102","additional job","дополнительная работа",
"103","accommodation","жилье",
"104","issue","/ишью/ - вопрос/проблема",
"105","among","среди (чего - либо)",
"106","entertainment","развлечение",
"107","entertain","развлекать",
"108","try","пробовать",
"109","response","отвечать",
"110","notice","замечать/замечание/заметка",
"111","noticeable","заметный",
"112","fluctuate","колебаться",
"113","index","показатель",
"114","about","про/о (чем-либо)",
"115","flight","рейс/полет",
"116","book","бронировать",
"117","awful","отвратительно/ужасно",
"118","argue","ссориться/спорить",
"119","decide","принимать  решение/решение",
"120","heat","жара",
"121","increase","повышаться/повышать",
"122","decrease","уменьшаться/уменьшать",
"123","scare","бояться/пугать",
"124","pass","проводить/проходить/передавать ",
"125","carry","тянуть/переносить/перевозить",
